player,fantasy,salary,value,score,madeCut,first,topFive,topTen,topTwentyFive,eagles,birdies,pars,bogeys,doubleBogeys,team,gameInfo
Pontus Nyholm,35.92,N/A,N/A,2.85,45.68%,0.32%,2.28%,4.92%,13.68%,0.16,8.47,33.59,8.99,1.23,,
Lee Hodges,45,$8800,5.11,1.2,58.36%,1.36%,6.48%,11.72%,26.04%,0.2,10.01,36.61,8.97,1.22,,
Matt Kuchar,42.9,$8000,5.36,1.57,56.04%,0.64%,4.56%,9.08%,22.84%,0.18,9.7,36.05,9.03,1.21,,
Adam Hadwin,33.15,$7300,4.54,3.33,40.72%,0.2%,2.16%,4.28%,12.08%,0.14,7.93,32.48,8.85,1.25,,
Nick Hardy,36.37,$7200,5.05,2.75,46.08%,0.36%,2.44%,4.8%,14.56%,0.16,8.54,33.66,9.02,1.2,,
Adrien Dumont De Chassart,34.39,$8200,4.19,3.1,42.96%,0.08%,1.72%,4.68%,12.76%,0.15,8.23,32.87,8.98,1.23,,
Lanto Griffin,42,$7200,5.83,1.71,54.64%,0.48%,4.28%,8.68%,21.56%,0.18,9.56,35.67,9.05,1.2,,
Christo Lamprecht,25.77,$7000,3.68,4.84,28.84%,0.04%,0.44%,1.12%,4.28%,0.12,6.63,29.4,8.93,1.3,,
Davis Thompson,45.62,$9600,4.75,1,59.16%,1.28%,5.52%,12.28%,27.56%,0.19,10.12,36.83,8.97,1.19,,
Erik Van Rooyen,37.33,$7800,4.79,2.59,48.32%,0.36%,2.36%,5.64%,15.12%,0.16,8.72,34.23,9.09,1.2,,
Fabian Gomez,36.17,$7500,4.82,2.89,47.16%,0.24%,2.2%,4.88%,14.52%,0.16,8.54,33.95,9.09,1.24,,
Jake Knapp,47.02,$10800,4.35,0.81,60.52%,1.36%,7.88%,13.8%,29.12%,0.2,10.39,36.98,9.02,1.2,,
Camilo Villegas,36.44,$7100,5.13,2.86,47.16%,0.28%,2.4%,5.84%,13.88%,0.16,8.58,33.87,9.15,1.22,,
Jordan L. Smith,45.18,$10300,4.39,1.14,58.2%,1.0%,5.96%,11.56%,26.84%,0.2,10.1,36.42,9.04,1.2,,
Trace Crowe,42.97,$7600,5.65,1.43,55.36%,0.32%,4.76%,10.04%,24.72%,0.18,9.7,35.92,8.92,1.21,,
Hayden Springer,40,$7600,5.26,2.11,52.24%,0.48%,3.04%,7.36%,18.8%,0.16,9.25,35.12,9.07,1.22,,
Stefano Mazzoli,33.9,N/A,N/A,3.23,43.16%,0.16%,1.6%,3.92%,11.8%,0.15,8.1,33.07,8.99,1.24,,
Neal Shipley,38.28,$7700,4.97,2.39,48.72%,0.64%,3.68%,6.64%,16.32%,0.17,8.82,34.36,8.99,1.2,,
Paul Peterson,46.78,N/A,N/A,0.78,60.4%,1.28%,7.12%,13.68%,28.6%,0.19,10.28,37.2,8.87,1.2,,
Jeevan Sihota,33.8,N/A,N/A,3.26,42.36%,0.32%,1.88%,4.08%,11.68%,0.13,8.09,32.81,8.98,1.23,,
Rico Hoey,42.91,$8600,4.99,1.5,54.6%,0.84%,4.76%,10.52%,24.52%,0.19,9.67,35.6,9.01,1.19,,
Kevin Roy,43.71,$7800,5.6,1.34,56.08%,0.8%,4.76%,10.88%,25.04%,0.2,9.79,36,9.03,1.17,,
Keith Mitchell,48.11,$10900,4.41,0.53,62.24%,1.28%,7.72%,13.72%,30.8%,0.2,10.6,37.43,9.01,1.18,,
Mac Meissner,51.01,$9500,5.37,0.08,65.36%,1.84%,10.36%,17.32%,34.16%,0.21,11.04,38.08,9.01,1.18,,
Dou Zecheng,41.84,$8300,5.04,1.73,54.0%,0.84%,4.76%,9.04%,21.68%,0.19,9.47,35.59,8.99,1.21,,
Harry Higgs,35.02,$7300,4.8,3.08,44.76%,0.28%,2.28%,4.56%,12.8%,0.15,8.35,33.29,9.08,1.24,,
Gary Woodland,44.74,$9900,4.52,1.22,58.24%,0.76%,6.16%,11.32%,25.12%,0.18,10.02,36.57,8.97,1.22,,
Preston Stout,34.11,N/A,N/A,3.13,42.92%,0.12%,1.52%,4.16%,12.12%,0.14,8.13,33.05,8.88,1.25,,
Patton Kizzire,32.17,$7000,4.6,3.5,39.16%,0.12%,1.6%,3.52%,10.12%,0.13,7.8,32.01,8.96,1.2,,
Tyler Duncan,35.11,$7300,4.81,2.99,43.92%,0.2%,1.96%,4.4%,13.16%,0.17,8.32,33.08,9,1.24,,
Matthias Schmid,38.18,$8500,4.49,2.51,49.44%,0.48%,2.8%,5.84%,16.72%,0.17,8.89,34.44,9.03,1.26,,
Maverick McNealy,46.58,$11400,4.09,0.75,58.88%,0.88%,7.24%,14.2%,29.16%,0.2,10.3,36.61,8.92,1.18,,
Patrick Rodgers,37.68,$8400,4.49,2.5,47.52%,0.48%,3.08%,6.04%,17.88%,0.16,8.78,33.96,8.99,1.21,,
Brice Garnett,37.47,$7000,5.35,2.56,47.88%,0.16%,2.12%,5.16%,15.32%,0.15,8.83,34.01,9.01,1.25,,
John VanDerLaan,34.75,N/A,N/A,3.1,43.84%,0.24%,2.2%,4.32%,13.0%,0.15,8.25,33.18,8.96,1.25,,
Joe Highsmith,33.08,$7100,4.66,3.41,40.8%,0.28%,1.76%,3.84%,11.12%,0.15,7.96,32.33,9.01,1.23,,
Chad Ramey,39.78,$7900,5.04,2.13,51.04%,0.4%,3.96%,8.28%,19.4%,0.17,9.12,34.88,9,1.2,,
