"Row Type","Action","Keyword status","Campaign ID","Campaign","Ad group ID","Ad group","Keyword ID","Keyword","Type","Label","Default max. CPC","Max. CPV","Final URL","Mobile final URL","Final URL suffix","Tracking template","Custom parameter"
"Keyword","Add","Enabled","","StecStats - Search","","Brand","","stecstats","Exact match","Brand","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Brand","","stec stats","Exact match","Brand","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Brand","","stecstats.com","Exact match","Brand","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","youth basketball stats app","Broad match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball stats tracker app","Broad match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball statistics app","Broad match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball box score app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","aau basketball stats app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","travel basketball stats tracker","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","youth basketball scorebook app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball stat keeping app","Broad match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball stats tracking software","Broad match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","youth sports stats app","Broad match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball scoring app for coaches","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","live basketball stats app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","middle school basketball stats app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","high school basketball stats app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball stats app iphone","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball stats app ipad","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","free basketball stats app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","best basketball stats app","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Stat Tracking","","basketball player stats tracker","Phrase match","Stat Tracking","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Video & Recording","","record youth basketball game","Broad match","Video Recording","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Video & Recording","","basketball game recording app","Phrase match","Video Recording","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Video & Recording","","youth basketball video app","Phrase match","Video Recording","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Video & Recording","","film basketball game on phone","Phrase match","Video Recording","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Video & Recording","","basketball game film app","Phrase match","Video Recording","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Video & Recording","","record basketball and track stats","Phrase match","Video Recording","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Highlight Reels","","basketball highlight reel app","Phrase match","Highlights","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Highlight Reels","","youth basketball highlight video","Phrase match","Highlights","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Highlight Reels","","automatic basketball highlight reel","Phrase match","Highlights","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Highlight Reels","","basketball highlights app","Broad match","Highlights","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Highlight Reels","","create basketball highlight video","Phrase match","Highlights","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Highlight Reels","","basketball recruitment highlight reel","Phrase match","Highlights","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Live Streaming","","stream youth basketball game","Phrase match","Live Streaming","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Live Streaming","","live stream basketball game phone","Phrase match","Live Streaming","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Live Streaming","","basketball game live stream app","Phrase match","Live Streaming","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Live Streaming","","share basketball game live","Phrase match","Live Streaming","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Live Streaming","","youth sports live streaming app","Broad match","Live Streaming","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Live Streaming","","live stream aau basketball","Phrase match","Live Streaming","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","AAU & Travel Ball","","aau basketball app","Phrase match","AAU / Travel Ball","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","AAU & Travel Ball","","aau basketball stats tracker","Phrase match","AAU / Travel Ball","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","AAU & Travel Ball","","travel basketball app","Phrase match","AAU / Travel Ball","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","AAU & Travel Ball","","travel ball stats tracker","Phrase match","AAU / Travel Ball","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","AAU & Travel Ball","","aau basketball parent app","Phrase match","AAU / Travel Ball","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","AAU & Travel Ball","","club basketball stats app","Phrase match","AAU / Travel Ball","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Coaching","","youth basketball coaching app","Phrase match","Coaching","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Coaching","","basketball coaching tools app","Phrase match","Coaching","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Coaching","","basketball coach stat tracker","Phrase match","Coaching","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Coaching","","sideline stats app basketball","Phrase match","Coaching","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Coaching","","basketball team management app","Broad match","Coaching","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Coaching","","keep stats at basketball game","Phrase match","Coaching","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Parents","","basketball app for parents","Phrase match","Parents","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Parents","","youth basketball player tracker","Phrase match","Parents","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Parents","","track my kid basketball stats","Phrase match","Parents","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Parents","","basketball stats for parents","Phrase match","Parents","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Parents","","youth athlete stats app","Phrase match","Parents","","","https://stecstats.com","","","",""
"Keyword","Add","Enabled","","StecStats - Search","","Parents","","basketball career stats tracker","Phrase match","Parents","","","https://stecstats.com","","","",""
